problem_id,year,version,problem_num,contest_label,slug,problem_url,contest_url,category
1078,2021,Fall A,3,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_3,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1079,2021,Fall A,4,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_4,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1080,2021,Fall A,5,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_5,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1081,2021,Fall A,6,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_6,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1082,2021,Fall A,7,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_7,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1083,2021,Fall A,8,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_8,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1084,2021,Fall A,9,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_9,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1085,2021,Fall A,10,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_10,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1086,2021,Fall A,11,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_11,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1087,2021,Fall A,12,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_12,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1088,2021,Fall A,13,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_13,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1089,2021,Fall A,14,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_14,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1090,2021,Fall A,15,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_15,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1091,2021,Fall A,16,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_16,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1092,2021,Fall A,17,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_17,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1093,2021,Fall A,18,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_18,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1094,2021,Fall A,19,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_19,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1095,2021,Fall A,20,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_20,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1096,2021,Fall A,21,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_21,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1097,2021,Fall A,22,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_22,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
